start start START
parse_identifier final IDENTIFIER
punctuator_or_include_header final PUNCTUATOR
include_header final INCLUDE_HEADER
stringLit-Identifier final STRING_LITERAL
stringLiteralFinal final STRING_LITERAL
charSequenceFinal final CHAR_LITERAL
simple_punctuators final PUNCTUATOR
digitsFinal final CONSTANT_FLOAT
digitsFinalCuSufix final CONSTANT_FLOAT
hex_digits final CONSTANT_INTEGRAL
possible_octa final CONSTANT_INTEGRAL
composed| final PUNCTUATOR
composed|| final PUNCTUATOR
composed|= final PUNCTUATOR
composed^ final PUNCTUATOR
composed^= final PUNCTUATOR
composed## final PUNCTUATOR
composed= final PUNCTUATOR
composed== final PUNCTUATOR
composed: final PUNCTUATOR
composed:> final PUNCTUATOR
composed> final PUNCTUATOR
composed>= final PUNCTUATOR
composed>> final PUNCTUATOR
composed>>= final PUNCTUATOR
composed% final PUNCTUATOR
composed%= final PUNCTUATOR
composed%> final PUNCTUATOR
composed%: final PUNCTUATOR
composed%:%: final PUNCTUATOR
composed- final PUNCTUATOR
composed-= final PUNCTUATOR
composed-> final PUNCTUATOR
composed-- final PUNCTUATOR
composed+ final PUNCTUATOR
composed++ final PUNCTUATOR
composed+= final PUNCTUATOR
composed< final PUNCTUATOR
composed<< final PUNCTUATOR
composed<= final PUNCTUATOR
composed<<= final PUNCTUATOR
composed<: final PUNCTUATOR
composed<% final PUNCTUATOR
composed. final PUNCTUATOR
composed... final PUNCTUATOR
composed& final PUNCTUATOR
composed&& final PUNCTUATOR
composed&= final PUNCTUATOR
composed* final PUNCTUATOR
composed*= final PUNCTUATOR
composed~ final PUNCTUATOR
composed~= final PUNCTUATOR
composed! final PUNCTUATOR
composed!= final PUNCTUATOR
composed/ final PUNCTUATOR
composed/= final PUNCTUATOR
interger_sufix_LLuU final CONSTANT_INTEGRAL
integer_sufix_LL final CONSTANT_INTEGRAL
integer_sufix_L final CONSTANT_INTEGRAL
integer_sufix_LuU final CONSTANT_INTEGRAL
integer_suffix_uU_LL final CONSTANT_INTEGRAL
integer_suffix_uU_ll final CONSTANT_INTEGRAL
integer_suffix_uU_L final CONSTANT_INTEGRAL
integer_suffix_uU_l final CONSTANT_INTEGRAL
integer_sufix_uU final CONSTANT_INTEGRAL
integer_sufix_l final CONSTANT_INTEGRAL
integer_sufix_ll final CONSTANT_INTEGRAL
integer_sufix_lluU final CONSTANT_INTEGRAL
integer_sufix_luU final CONSTANT_INTEGRAL
constant_int_or_float final CONSTANT_INTEGRAL
const_oct_hex_float final CONSTANT_INTEGRAL
digits final CONSTANT_FLOAT
